sid,Не подкрепям никого,БСП ЗА БЪЛГАРИЯ,ГЕРБ-СДС,ВЪЗРАЖДАНЕ,ПП ИМА ТАКЪВ НАРОД,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,"КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (АТАКА, РУСОФИЛИ, КОМУНИСТИ)",Българско Национално Обединение,ЗАЕДНО,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,НДСВ,КОД /Консервативно Обединение на Десницата/,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,Движение за права и свободи – ДПС,ЛЕВИЦАТА!,ПП БЪЛГАРСКИ ВЪЗХОД,МИР,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БСДД – Български Съюз за ДИРЕКТНА ДЕМОКРАЦИЯ,ПП Глас Народен,Социалистическа партия Български път,ВЪН от ЕС и НАТО,независими
234615124,10.0,10.0,70.0,45.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,86.0,7.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,1.0,
234617073,18.0,14.0,122.0,50.0,7.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,127.0,5.0,11.0,4.0,5.0,0.0,1.0,2.0,0.0,3.0,
234615021,25.0,50.0,82.0,43.0,15.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,195.0,3.0,21.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,
234602086,9.0,21.0,53.0,39.0,9.0,1.0,2.0,0.0,4.0,0.0,4.0,2.0,141.0,3.0,9.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,
234615011,17.0,20.0,93.0,41.0,6.0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,147.0,1.0,13.0,10.0,0.0,0.0,0.0,2.0,0.0,5.0,
234602064,17.0,36.0,59.0,57.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,109.0,2.0,17.0,18.0,0.0,0.0,3.0,1.0,0.0,0.0,
234602026,19.0,16.0,100.0,61.0,12.0,2.0,3.0,0.0,2.0,0.0,4.0,2.0,175.0,5.0,15.0,19.0,4.0,0.0,0.0,1.0,0.0,2.0,
234615003,17.0,48.0,64.0,50.0,15.0,2.0,0.0,0.0,4.0,0.0,3.0,3.0,195.0,0.0,11.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,
234616032,7.0,37.0,46.0,25.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,121.0,2.0,17.0,17.0,0.0,1.0,0.0,1.0,0.0,2.0,
234616042,15.0,23.0,72.0,37.0,4.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,111.0,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,
234615052,26.0,37.0,109.0,67.0,12.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,221.0,1.0,11.0,17.0,0.0,1.0,1.0,3.0,0.0,2.0,
234602060,22.0,27.0,88.0,55.0,10.0,3.0,1.0,0.0,2.0,0.0,1.0,3.0,151.0,3.0,7.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,
234617032,18.0,15.0,103.0,58.0,11.0,1.0,7.0,0.0,2.0,0.0,2.0,2.0,83.0,2.0,8.0,7.0,0.0,0.0,2.0,2.0,0.0,2.0,
234615116,19.0,17.0,74.0,60.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,259.0,2.0,8.0,9.0,3.0,3.0,3.0,3.0,0.0,0.0,
