,Област / Община,Площ km2,Население,Население.1,Население.2,Население.3,Население.4,Население.5,Население.6,Население.7,Население.8,Население.9,Брой общ.,Гр.,Села,Общо
82,Трявна,254909,16 380,17 414,17 697,18 491,18 876,17 967,16 450,14 391,11 754,9180,,2,104,106
83,Добрич,"4 719,713",179 084,201 252,226 738,236 777,251 072,257 783,232 780,215 217,189 677,150 146,8,6,209,215
84,Балчик,524153,15 475,17 805,22 092,23 538,24 254,23 990,22 367,22 354,20 317,15 958,,1,21,22
85,Генерал Тошево,982238,26 311,29 330,36 089,37 081,31 264,26 384,22 931,19 422,15 097,11 114,,1,41,42
86,Добрич,109018,30 381,32 671,43 951,56 626,88 233,109 142,104 494,100 000,91 030,16 764,,1,–,1
87,Добрич-селска,"1 296,163",47 559,51 426,49 538,46 147,39 068,33 370,28 710,25 721,22 081,73 895,,–,68,68
88,Каварна,481367,13 419,15 571,18 554,19 375,19 709,19 109,18 044,16 688,15 358,13 308,,1,20,21
89,Крушари,417458,16 107,17 896,15 184,13 465,10 657,8613,7243,5924,4547,3146,,–,19,19
90,Тервел,579677,21 205,26 140,30 214,29 895,28 626,28 711,21 483,18 728,16 178,11 951,,1,25,26
91,Шабла,329639,8627,10 413,11 116,10 650,9261,8464,7508,6380,5069,4010,,1,15,16
92,Кърджали,"3 210,552",164 913,195 844,225 294,267 657,273 507,289 376,203 251,164 019,152 808,141 177,7,5,463,468
93,Ардино,338848,27 533,30 609,29 407,33 185,29 507,27 698,18 174,13 649,11 572,11 318,,1,51,52
94,Джебел,229079,13 769,16 122,17 493,22 798,21 622,22 851,10 994,8661,8167,8375,,1,46,47
95,Кирково,537871,21 460,25 975,29 899,36 421,38 917,42 201,33 112,24 220,21 916,20 442,,–,72,72
96,Крумовград,843319,27 472,33 550,39 161,43 090,44 544,44 146,31 268,19 907,17 823,16 909,,1,79,80
97,Кърджали,574742,41 625,48 737,63 364,82 846,92 778,105 993,76 155,69 830,67 460,62 005,,1,117,118
98,Момчилград,358124,18 482,23 064,26 911,31 319,29 790,31 227,20 836,17 185,16 263,14 353,,1,48,49
99,Черноочене,328569,14 572,17 787,19 059,17 998,16 349,15 260,12 712,10 567,9607,7775,,–,50,50
100,Кюстендил,"3 072,007",190 996,203 381,197 286,200 974,198 876,191 463,181 347,162 534,136 686,111 736,9,7,175,182
101,Бобов дол,206188,14 971,16 584,17 772,18 119,15 942,14 453,13 655,11 755,9067,6862,,1,17,18
102,Бобошево,135142,10 697,11 691,10 199,8297,6556,5326,4620,3695,2870,2348,,1,11,12
103,Дупница,329059,34 960,39 989,44 569,53 141,58 185,57 310,55 737,51 471,44 988,37 795,,1,16,17
104,Кочериново,182306,13 977,15 159,14 397,13 033,10 206,8617,7500,6607,5214,4260,,1,10,11
105,Кюстендил,979915,65 575,66 951,64 880,71 336,79 756,81 525,78 328,70 573,60 681,49 080,,1,71,72
106,Невестино,439686,21 650,22 877,18 336,13 904,9489,7266,5894,4466,2821,1824,,–,23,23
107,Рила,360960,5987,7144,7498,6650,5818,4918,4410,3844,2888,2442,,1,4,5
108,Сапарева баня,180921,11 507,12 769,12 331,11 876,9923,9841,9544,8981,7528,6691,,1,4,5
109,Трекляно,257830,11 672,10 217,7304,4618,3001,2207,1659,1142,629,434,,–,19,19
110,Ловеч,"4 128,764",208 444,215 925,213 319,217 217,216 844,204 268,190 262,169 951,141 422,116 394,8,8,102,110
111,Априлци,238256,9544,9901,8861,6806,6203,5363,4720,4137,3338,2786,,1,3,4
112,Летница,177719,10 753,10 892,9494,8630,8043,7202,6752,5607,3776,3632,,1,3,4
113,Ловеч,946284,62 163,64 662,63 337,70 477,75 236,73 017,69 423,62 165,49 738,38 699,,1,34,35
114,Луковит,453408,33 354,34 082,32 597,30 923,28 877,25 878,23 783,21 466,18 125,15 761,,1,11,12
115,Тетевен,697161,18 421,20 751,24 888,26 315,26 661,26 863,25 952,23 768,21 307,17 970,,1,12,13
116,Троян,888839,38 647,39 701,41 752,45 962,47 231,45 338,41 284,37 345,32 399,26 884,,1,21,22
117,Угърчин,523103,24 703,25 113,22 285,18 080,15 182,12 128,10 816,8561,6505,5035,,1,10,11
118,Ябланица,203994,10 859,10 823,10 105,10 024,9411,8479,7532,6902,6234,5627,,1,8,9
