,ACF HR 0721
1233,082800126
1234,082800128
1235,090200032
1236,090200037
1237,091400017
1238,091500016
1239,091500068
1240,092100015
1241,093500016
1242,121200002
1243,122400032
1244,122400034
1245,122900064
1246,130800049
1247,131900156
1248,131900162
1249,131900196
1250,131900201
1251,132900001
1252,143200051
1253,152400205
1254,152400216
1255,152400222
1256,162201080
1257,162202025
1258,162202036
1259,162202037
1260,162202052
1261,170100058
1262,170100059
1263,170100086
1264,170100089
1265,171300068
1266,174200010
1267,181600026
1268,182900006
1269,190400013
1270,192700052
1271,203100181
1272,211100018
1273,212000115
1274,212000118
1275,212000119
1276,212000138
1277,212000174
1278,212000177
1279,244607072
1280,244607077
1281,254619072
1282,263900032
1283,273100186
1284,273100192
1285,273100201
1286,273600026
1287,282400022
1288,282400039
1289,283500059
1290,283500070
1291,292900012
1292,293300008
1293,293300045
1294,293400068
1295,293400125
1296,293400127
1297,302100005
1298,303000037
1299,303000052
1300,303000104
1301,303000105
1302,303000109
1303,013300048
1304,021500018
1305,030100006
1306,040400096
1307,062000023
1308,090200035
1309,111900017
1310,121100019
1311,131900043
1312,131900077
1313,131900083
1314,131900174
1315,132900028
1316,152400204
1317,162201084
1318,162202024
1319,162202031
1320,162202033
1321,162202040
1322,162202047
1323,162202048
1324,162202049
1325,162204045
1326,172500018
1327,182600006
1328,182600067
1329,223100062
1330,244607071
1331,244607073
1332,244607076
1333,254611064
1334,254611065
1335,271200037
1336,271200038
1337,273600007
1338,293400121
1339,301800006
1340,312600045
1341,312600046
1342,312600049
1343,082800084
1344,123600011
1345,130600012
1346,131900060
1347,152400206
1348,162202027
1349,162202038
1350,162202050
1351,162202051
1352,162202053
1353,162204033
1354,203100139
1355,211600015
1356,212000114
1357,212000128
1358,212000146
1359,254611061
1360,291800012
1361,312600047
1362,091400004
1363,091400005
1364,162202021
1365,162202026
1366,162202032
1367,172500028
1368,211600016
1369,211600039
