,ACF HR LT
1053,104800056
1054,111700008
1055,111800055
1056,111800058
1057,111800066
1058,111800075
1059,111900013
1060,111900022
1061,113300001
1062,113300002
1063,113300007
1064,113300009
1065,113300012
1066,113300014
1067,113300015
1068,113300019
1069,113400025
1070,113400063
1071,113600005
1072,113600007
1073,120200019
1074,120200021
1075,120200032
1076,120400010
1077,120400015
1078,120400019
1079,121100020
1080,121200010
1081,121400004
1082,122400031
1083,122900056
1084,122900057
1085,122900058
1086,122900070
1087,130800008
1088,130800020
1089,130800047
1090,130800051
1091,130800055
1092,131400002
1093,131400010
1094,131900085
1095,131900094
1096,132100005
1097,132100006
1098,132900014
1099,132900021
1100,132900025
1101,140800019
1102,143200063
1103,143200124
1104,143200133
1105,143600035
1106,143600044
1107,151100014
1108,151600009
1109,151600015
1110,151600029
1111,152100001
1112,152100012
1113,152400217
1114,152400224
1115,152400230
1116,152400234
1117,152700010
1118,153700036
1119,153700037
1120,153700038
1121,153900007
1122,162202046
1123,162204072
1124,170100064
1125,170100066
1126,170100071
1127,170100090
1128,171300071
1129,171300073
1130,171500005
1131,171500010
1132,171700035
1133,172300028
1134,172300031
1135,172300039
1136,172600039
1137,173700019
1138,173900009
1139,181100012
1140,181400003
1141,181700005
1142,182600026
1143,182600028
1144,182600066
1145,190300006
1146,190400017
1147,190500016
1148,190500017
1149,190800004
1150,192700209
1151,193300004
1152,193300011
1153,200100205
1154,201000408
1155,201000416
1156,201000435
1157,203100157
1158,203100168
1159,203100170
1160,203200605
1161,203200613
1162,203400713
1163,211100003
1164,211100014
1165,211100028
1166,211100029
1167,211100030
1168,211100032
1169,211600009
1170,212000116
1171,212000117
1172,212000133
1173,212000136
1174,212000137
1175,212000149
1176,212000171
1177,212400010
1178,212400020
1179,220900013
1180,221100016
1181,221600025
1182,221600031
1183,221800007
1184,221800008
1185,221800012
1186,221800020
1187,221800021
1188,223100041
1189,223100051
1190,223100052
1191,223100055
1192,223100058
1193,223100059
1194,223100060
1195,223100076
1196,223100081
1197,223800013
1198,244607074
1199,244607075
1200,254611056
1201,254611059
1202,254611060
1203,254611071
1204,260700037
1205,260700040
1206,261000015
1207,261600016
1208,262000011
1209,262000012
1210,262000016
1211,262000028
1212,262600022
1213,263900033
1214,263900035
1215,263900038
1216,263900044
1217,263900045
1218,263900046
1219,263900064
1220,264300011
1221,264300034
1222,270400004
1223,270400012
1224,270400017
1225,270700013
1226,270700019
1227,272300011
1228,272400017
1229,272700027
1230,273100089
1231,273100150
1232,273100159
1233,273100173
1234,273100174
1235,273100195
1236,273100204
1237,280200031
1238,280200037
1239,282200029
1240,282200043
1241,282200050
1242,282400021
1243,282400029
1244,282400031
1245,283500060
1246,283500069
1247,283500077
1248,290900052
1249,290900053
1250,290900065
1251,290900087
1252,291100009
