sid;ГЕРБ-СДС;ДПС;ПП/ДБ;ВЪЗР;БСП;ИТН;ВЕЛИЧИЕ;МЕЧ;npn;invalid;СИНЯ БЪЛГАРИЯ;СОЛИДАРНА БГ;ЦЕНТЪР;ВМРО БНД;ЛЕВИЦАТА;БВ;ЗЕЛЕНО ДВИЖЕНИЕ;ГЛАС НАРОДЕН;НИЕ ИДВАМЕ;ЗЕЛЕНИТЕ;ПРЯКА ДЕМОКРАЦИЯ;ЕДИНЕНИЕ;НИЕ ГРАЖДАНИТЕ;БЪЛГАРСКИ ГЛАСЪ;ГРАЖДАНСКИ БЛОК;НП ИСИ;НЕУТРАЛНА БЪЛГАРИЯ;ОБЩЕСТВО ЗА НОВА БГ;КОАЛИЦИЯ НА РОЗАТА;БНС-НД;ЗА ВЕЛИКА БЪЛГАРИЯ;БСДД;БНО;station_type;municipality;country_name;station;region_name;ekatte;place;address;municipality_name;eligible_voters
010300062;26;31;20;8;12;15;5;4;3;4;5;2;5;2;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;;3;България;62;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;441
010300063;42;26;5;13;11;12;9;4;5;6;0;1;6;0;0;0;3;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;;3;България;63;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;471
010300064;57;19;24;19;10;10;6;12;3;4;0;0;2;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;3;България;64;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;596
010300065;51;25;16;17;6;12;7;1;4;5;0;4;1;1;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;;3;България;65;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;472
010300066;53;27;27;19;16;14;7;5;3;1;2;2;3;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;3;България;66;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;551
010300067;42;22;22;32;7;11;4;6;6;5;0;6;5;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;;3;България;67;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;572
010300068;49;25;15;21;8;16;4;1;5;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;;3;България;68;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;535
010300069;46;46;23;20;5;12;9;6;6;0;0;1;2;4;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;България;69;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;575
010300070;50;17;25;24;10;9;6;5;9;4;1;1;5;0;1;1;2;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;;3;България;70;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;613
010300109;45;20;16;11;6;12;8;5;3;3;0;6;3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;3;България;109;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;482
010300110;38;27;26;23;5;13;3;6;7;5;3;1;1;0;2;0;1;0;1;0;1;0;0;1;1;0;0;0;0;1;0;0;0;;3;България;110;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VI-то СУ  ИВАН ВАЗОВ , УЛ.  ЯНЕ САНДАНСКИ  №001;Благоевград;437
010300040;63;18;62;31;19;25;6;5;7;3;5;1;4;6;7;1;3;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;;3;България;40;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;721
010300041;53;10;32;23;11;13;5;2;5;2;6;2;0;2;7;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;3;България;41;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;533
010300042;71;17;46;35;16;15;1;1;5;7;7;3;6;6;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;3;България;42;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;620
010300043;70;16;38;28;21;31;14;3;8;7;3;3;5;3;4;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;;3;България;43;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;715
010300052;37;27;12;20;6;8;7;6;8;2;2;8;9;2;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;;3;България;52;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;411
010300104;84;18;55;40;19;29;10;2;8;1;8;5;2;3;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;3;България;104;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;290
010300107;31;16;31;17;6;9;4;4;9;0;0;3;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;;3;България;107;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІ-мо СУ  КУЗМАН ШАПКАРЕВ , УЛ.  ИЛИНДЕН  №13;Благоевград;415
010300084;80;18;19;21;11;18;14;6;8;6;2;2;7;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;3;България;84;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІІ-мо СУ  АРСЕНИЙ КОСТЕНЦЕВ , ЖК  ЕЛЕНОВО ;Благоевград;601
010300085;43;30;23;27;2;17;5;7;3;7;3;4;4;5;2;0;0;2;0;4;0;0;0;1;0;0;0;0;0;0;0;0;1;;3;България;85;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІІ-мо СУ  АРСЕНИЙ КОСТЕНЦЕВ , ЖК  ЕЛЕНОВО ;Благоевград;511
010300086;38;26;25;24;4;21;8;10;7;5;3;3;3;1;2;0;2;1;1;0;3;0;0;0;2;0;0;0;0;0;0;0;0;;3;България;86;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІІ-мо СУ  АРСЕНИЙ КОСТЕНЦЕВ , ЖК  ЕЛЕНОВО ;Благоевград;540
010300087;51;11;11;18;7;13;3;6;1;0;5;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;;3;България;87;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІІ-мо СУ  АРСЕНИЙ КОСТЕНЦЕВ , ЖК  ЕЛЕНОВО ;Благоевград;499
010300088;58;34;14;23;9;14;2;4;6;5;5;3;4;4;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;3;България;88;01. БЛАГОЕВГРАД;4279;гр.Благоевград;гр. БЛАГОЕВГРАД VІІІ-мо СУ  АРСЕНИЙ КОСТЕНЦЕВ , ЖК  ЕЛЕНОВО ;Благоевград;592
