sid,Нова Алтернатива,Демократическа Партия,НФСБ,Коалиция за България,Свобода и Достойнство,Нац.-Демократична Партия,Гражданска Листа - Модерна БГ,СДС,Либерален Алианс,Християн-Социален Съюз,Атака,ГЕРБ,РЗС,ВМРО - БНД,Демокр. Гражд. Инициатива,Християндем. партия,Средна Европейска Класа,Нац. Патриотично Обединение,Лидер,Зелените,ДСБ-БДФ,Социалдем. Партия,Другата България,Българската Левица,Кауза България,ДБГ,ДАНО,Българска Пролет,Горда България,Глас Народен,БЗНС,ДПС,Нац. Движение Единство,Партия на Бълг. Жени,Единна Народна Партия,Съюз на Комунистите,независими,npn,invalid,station_type,municipality,municipality_name,country_name,station,region_name,place,ekatte,address,eligible_voters
010300005,0,0.0,12,123,3,0,1,3,2,0.0,33,138,19,7,0.0,1.0,0.0,0.0,6,2.0,17,0.0,0.0,0,0,7,1,2.0,3,26,0.0,1,0.0,1.0,2,0.0,0.0,0.0,4.0,,03,Благоевград,България,005,БЛАГОЕВГРАД,гр.Благоевград,4279,-,742
010300006,5,0.0,5,101,0,1,0,3,1,0.0,43,100,17,3,1.0,1.0,1.0,0.0,6,7.0,10,0.0,1.0,1,0,4,0,3.0,4,6,0.0,1,0.0,1.0,2,0.0,0.0,0.0,8.0,,03,Благоевград,България,006,БЛАГОЕВГРАД,гр.Благоевград,4279,-,753
010300007,0,0.0,1,115,5,0,4,1,0,0.0,6,97,4,2,0.0,0.0,0.0,1.0,2,0.0,2,0.0,0.0,0,0,0,0,1.0,0,0,0.0,6,0.0,0.0,25,0.0,0.0,0.0,23.0,,03,Благоевград,България,007,БЛАГОЕВГРАД,гр.Благоевград,4279,-,947
010300008,1,0.0,11,89,8,0,0,4,0,0.0,22,133,21,8,1.0,0.0,0.0,0.0,25,1.0,19,0.0,0.0,0,0,13,0,1.0,0,10,0.0,0,0.0,2.0,4,0.0,0.0,0.0,9.0,,03,Благоевград,България,008,БЛАГОЕВГРАД,гр.Благоевград,4279,-,907
010300009,1,0.0,9,68,4,0,2,0,1,0.0,22,77,11,8,1.0,1.0,0.0,0.0,10,0.0,3,0.0,0.0,0,1,10,0,0.0,10,11,0.0,2,0.0,2.0,1,0.0,0.0,0.0,8.0,,03,Благоевград,България,009,БЛАГОЕВГРАД,гр.Благоевград,4279,-,903
010300010,1,0.0,11,95,4,0,1,1,1,0.0,16,126,20,5,0.0,0.0,0.0,0.0,12,2.0,1,0.0,0.0,0,0,7,0,2.0,3,6,1.0,3,0.0,1.0,3,0.0,0.0,0.0,13.0,,03,Благоевград,България,010,БЛАГОЕВГРАД,гр.Благоевград,4279,-,909
010300011,7,0.0,8,114,0,0,3,1,0,1.0,33,119,15,5,1.0,1.0,1.0,0.0,1,8.0,6,0.0,1.0,0,0,15,0,0.0,2,13,1.0,0,0.0,0.0,1,0.0,0.0,0.0,8.0,,03,Благоевград,България,011,БЛАГОЕВГРАД,гр.Благоевград,4279,-,649
010300012,10,0.0,14,101,5,5,3,3,2,1.0,36,152,32,7,1.0,0.0,1.0,1.0,5,4.0,11,0.0,0.0,0,0,14,0,0.0,9,18,0.0,4,0.0,0.0,1,0.0,0.0,0.0,8.0,,03,Благоевград,България,012,БЛАГОЕВГРАД,гр.Благоевград,4279,-,867
010300013,3,1.0,9,76,1,0,0,2,0,0.0,27,113,44,9,1.0,0.0,4.0,0.0,0,0.0,12,0.0,0.0,0,0,7,0,1.0,1,16,0.0,2,0.0,1.0,0,0.0,0.0,0.0,9.0,,03,Благоевград,България,013,БЛАГОЕВГРАД,гр.Благоевград,4279,-,618
010300014,1,1.0,19,95,1,0,4,9,0,0.0,32,146,18,16,1.0,1.0,0.0,0.0,0,5.0,30,0.0,0.0,0,3,15,0,0.0,9,15,1.0,6,0.0,0.0,2,0.0,0.0,0.0,12.0,,03,Благоевград,България,014,БЛАГОЕВГРАД,гр.Благоевград,4279,-,720
