sid,yes,no,invalid,region,municipality,municipality_name,admin_reg,station,region_name,place,ekatte,address,eligible_voters
011100029,54,36,0,01,11,Гоце Делчев,00,029,БЛАГОЕВГРАД,с.Баничан,2600.0,-,528
011100030,52,21,2,01,11,Гоце Делчев,00,030,БЛАГОЕВГРАД,с.Господинци,17347.0,-,365
011100031,234,21,6,01,11,Гоце Делчев,00,031,БЛАГОЕВГРАД,с.Буково,7003.0,-,821
011100032,161,2,1,01,11,Гоце Делчев,00,032,БЛАГОЕВГРАД,с.Брезница,6306.0,-,699
011100033,106,16,0,01,11,Гоце Делчев,00,033,БЛАГОЕВГРАД,с.Брезница,6306.0,-,666
011100034,119,13,4,01,11,Гоце Делчев,00,034,БЛАГОЕВГРАД,с.Брезница,6306.0,-,812
011100035,142,16,3,01,11,Гоце Делчев,00,035,БЛАГОЕВГРАД,с.Брезница,6306.0,-,804
011100036,53,17,0,01,11,Гоце Делчев,00,036,БЛАГОЕВГРАД,с.Корница,38666.0,-,542
011100037,45,10,0,01,11,Гоце Делчев,00,037,БЛАГОЕВГРАД,с.Корница,38666.0,-,593
011100038,61,11,0,01,11,Гоце Делчев,00,038,БЛАГОЕВГРАД,с.Корница,38666.0,-,683
011100039,144,13,2,01,11,Гоце Делчев,00,039,БЛАГОЕВГРАД,с.Лъжница,44416.0,-,795
011100040,102,11,1,01,11,Гоце Делчев,00,040,БЛАГОЕВГРАД,с.Лъжница,44416.0,-,717
011100041,14,5,0,01,11,Гоце Делчев,00,041,БЛАГОЕВГРАД,с.Добротино,21680.0,-,38
011100042,17,10,0,01,11,Гоце Делчев,00,042,БЛАГОЕВГРАД,с.Делчево,20585.0,-,54
011300001,74,31,2,01,13,Гърмен,00,001,БЛАГОЕВГРАД,с.Гърмен,18366.0,-,691
011300002,139,75,6,01,13,Гърмен,00,002,БЛАГОЕВГРАД,с.Гърмен,18366.0,-,809
011300003,17,27,0,01,13,Гърмен,00,003,БЛАГОЕВГРАД,с.Балдево,2381.0,-,174
011300004,87,59,0,01,13,Гърмен,00,004,БЛАГОЕВГРАД,с.Горно Дряново,16763.0,-,862
011300005,105,49,0,01,13,Гърмен,00,005,БЛАГОЕВГРАД,с.Дебрен,20331.0,-,919
011300006,123,27,7,01,13,Гърмен,00,006,БЛАГОЕВГРАД,с.Дебрен,20331.0,-,1021
011300007,153,24,7,01,13,Гърмен,00,007,БЛАГОЕВГРАД,с.Долно Дряново,22616.0,-,1001
011300008,64,33,6,01,13,Гърмен,00,008,БЛАГОЕВГРАД,с.Дъбница,24267.0,-,906
011300009,80,15,1,01,13,Гърмен,00,009,БЛАГОЕВГРАД,с.Дъбница,24267.0,-,828
011300010,16,2,0,01,13,Гърмен,00,010,БЛАГОЕВГРАД,с.Ковачевица,37472.0,-,43
011300011,50,1,0,01,13,Гърмен,00,011,БЛАГОЕВГРАД,с.Крушево,40138.0,-,208
011300012,21,29,1,01,13,Гърмен,00,012,БЛАГОЕВГРАД,с.Марчево,47408.0,-,120
