sid,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ДПС-Доган,ИТН,МЕЧ,ВЕЛИЧИЕ,npn,invalid,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,ДОСТ,БНС-НД,КОЙ,Чавдар Попов (нез.),Булгари,БСДД,СПБП,БТР,БРИГАДА,region,municipality,admin_reg,station,region_name,municipality_name,place,ekatte,address,eligible_voters
011300020,1,2,4,3,0,13,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,020,01. БЛАГОЕВГРАД,Гърмен,с.Рибново,62640,"С.РИБНОВО, ЧИТАЛИЩЕ  ИЗГРЕВ ",714
013300005,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,005,01. БЛАГОЕВГРАД,Петрич,гр.Петрич,56126,"ГР.ПЕТРИЧ, СГРАДА СОЦИАЛНО ПОДПОМАГАНЕ , ДО КЛУБ НА ПЕНСИОНЕРА, УЛ. СЛАВЯНСКА №2",967
013300012,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,012,01. БЛАГОЕВГРАД,Петрич,гр.Петрич,56126,"ГР.ПЕТРИЧ, ОУ  КОЧО МАВРОДИЕВ ",1002
013300014,70,-5,-13,-15,-12,0,-8,-5,-3,-6,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0.0,-1,0,0,0,0,01,33,00,014,01. БЛАГОЕВГРАД,Петрич,гр.Петрич,56126,"ГР.ПЕТРИЧ, СУ  АНТОН ПОПОВ ",877
013300020,2,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,020,01. БЛАГОЕВГРАД,Петрич,гр.Петрич,56126,"ГР.ПЕТРИЧ, КОНФЕРЕНТНА ЗАЛА-МБАЛ  ЮГОЗАПАДНА ",1054
013300025,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,025,01. БЛАГОЕВГРАД,Петрич,гр.Петрич,56126,"ГР.ПЕТРИЧ, КЛУБ НА ПЕНСИОНЕРА В КВ.  ПОЛЯНИТЕ ",923
013300027,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,027,01. БЛАГОЕВГРАД,Петрич,гр.Петрич,56126,"ГР.ПЕТРИЧ, ДГ ул. ЦАР СИМЕОН ",993
013300043,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,043,01. БЛАГОЕВГРАД,Петрич,с.Кромидово,39935,"С.КРОМИДОВО, КМЕТСТВОТО",100
013300065,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,065,01. БЛАГОЕВГРАД,Петрич,с.Долна Рибница,22246,"С.ДОЛНА РИБНИЦА, УЧИЛИЩЕТО",328
013300080,1,0,0,0,0,0,0,4,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,080,01. БЛАГОЕВГРАД,Петрич,с.Коларово,37989,"С.КОЛАРОВО, СУ  ВАСИЛ ЛЕВСКИ ",564
013300083,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,33,00,083,01. БЛАГОЕВГРАД,Петрич,с.Камена,35688,"С.КАМЕНА, КМЕТСТВОТО",241
013700002,6,0,0,0,1,0,-2,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,-1,01,37,00,002,01. БЛАГОЕВГРАД,Разлог,гр.Разлог,61813,"ГР.РАЗЛОГ, ЧИТАЛИЩЕ 15.09.1903Г. , УЛ. ШЕЙНОВО  №2",598
013700008,13,0,0,0,0,0,-1,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.0,0,0,0,0,0,01,37,00,008,01. БЛАГОЕВГРАД,Разлог,гр.Разлог,61813,"ГР.РАЗЛОГ, ПГ ПО ТУРИЗЪМ И ХРАНИТЕЛНИ ТЕХНОЛОГИИ НИКОЛА СТОЙЧЕВ ,УЛ. КАЛИНОВО  №1",703
013700013,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,37,00,013,01. БЛАГОЕВГРАД,Разлог,гр.Разлог,61813,"ГР.РАЗЛОГ, НУ СВ.СВ.КИРИЛ И МЕТОДИЙ , УЛ. ЕКЗАРХ ЙОСИФ  №2",529
013700017,11,0,0,0,0,0,-1,-2,-2,-2,-4,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,37,00,017,01. БЛАГОЕВГРАД,Разлог,с.Бачево,2960,"С.БАЧЕВО, КМЕТСТВО",658
013700018,12,0,3,7,1,0,4,-1,-1,0,-8,0,-2,0,0,-1,0,-1,0,0,0,0,0,0,0,0.0,-1,0,0,0,0,01,37,00,018,01. БЛАГОЕВГРАД,Разлог,с.Бачево,2960,"С.БАЧЕВО, ОСН.У-ЩЕ СВ.СВ.КИРИЛ И МЕТОДИЙ ",657
013700020,18,0,-2,23,0,0,-7,-12,-3,-8,-8,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,0,0,0,01,37,00,020,01. БЛАГОЕВГРАД,Разлог,с.Баня,2693,"С.БАНЯ, ОСН.У-ЩЕ СВ. ПАИСИЙ ХИЛЕНДАРСКИ ",806
013700022,4,0,0,10,-1,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,37,00,022,01. БЛАГОЕВГРАД,Разлог,с.Баня,2693,"С.БАНЯ, ЧИТАЛИЩЕ ПРОСВЕТА ",672
013700024,0,0,0,-1,0,0,0,0,0,-3,-4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,01,37,00,024,01. БЛАГОЕВГРАД,Разлог,с.Горно Драглище,16754,"С.ГОРНО ДРАГЛИЩЕ, КЛУБ НА ПЕНСИОНЕРА",741
013700026,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,37,00,026,01. БЛАГОЕВГРАД,Разлог,с.Елешница,27293,"С.ЕЛЕШНИЦА, ОСН.У-ЩЕ БРАТЯ МИЛАДИНОВИ ",573
014000015,4,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,40,00,015,01. БЛАГОЕВГРАД,Сандански,гр.Сандански,65334,"ГР.САНДАНСКИ, СПОРТНО УЧИЛИЩЕ  ПЕЙО ЯВОРОВ , УЛ. НАДЕЖДА  №15",688
014000030,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,40,00,030,01. БЛАГОЕВГРАД,Сандански,гр.Сандански,65334,"ГР.САНДАНСКИ, III ОСНОВНО У-ЩЕ ХР.БОТЕВ , УЛ. МАЛАШЕВСКА  №4",987
014000034,4,1,0,0,1,0,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,40,00,034,01. БЛАГОЕВГРАД,Сандански,с.Струма,69938,"С.СТРУМА, ЧИТАЛИЩЕ С.СТРУМА",482
014000045,0,0,0,3,0,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,40,00,045,01. БЛАГОЕВГРАД,Сандански,с.Ново Делчево,52074,"С.НОВО ДЕЛЧЕВО, ОУ  ГОЦЕ ДЕЛЧЕВ ",393
014000057,1,0,0,0,0,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,40,00,057,01. БЛАГОЕВГРАД,Сандански,гр.Мелник,47754,"ГР.МЕЛНИК, КМЕТСТВОТО",167
014000066,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,40,00,066,01. БЛАГОЕВГРАД,Сандански,с.Черешница,80618,"С.ЧЕРЕШНИЦА, МАГАЗИН НА РПК С.ЧЕРЕШНИЦА",30
014200001,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,001,01. БЛАГОЕВГРАД,Сатовча,с.Боголин,4707,"С.БОГОЛИН, ПЕНСИОНЕРСКИ КЛУБ",386
014200004,1,0,0,1,0,0,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,004,01. БЛАГОЕВГРАД,Сатовча,с.Вълкосел,12499,"С.ВЪЛКОСЕЛ, УЧИЛИЩЕ, УЛ. ХР.БОТЕВ №3",723
014200006,0,0,0,0,-1,0,0,0,0,2,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,006,01. БЛАГОЕВГРАД,Сатовча,с.Вълкосел,12499,"С.ВЪЛКОСЕЛ, УЧИЛИЩЕ, УЛ. ХР.БОТЕВ №3",721
014200009,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,009,01. БЛАГОЕВГРАД,Сатовча,с.Жижево,29372,"С.ЖИЖЕВО, УЧИЛИЩЕТО",292
014200011,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,011,01. БЛАГОЕВГРАД,Сатовча,с.Кочан,39089,"С.КОЧАН, ЧИТАЛИЩЕ, УЛ. ПРОЛЕТ  №1",807
014200012,32,-2,-5,-3,2,-3,0,0,0,-7,-9,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,012,01. БЛАГОЕВГРАД,Сатовча,с.Кочан,39089,"С.КОЧАН, КМЕТСТВО, УЛ. ДИМИТЪР БЛАГОЕВ №1",1028
014200014,1,0,0,15,1,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,42,00,014,01. БЛАГОЕВГРАД,Сатовча,с.Осина,54225,"С.ОСИНА, УЧИЛИЩЕ",476
