sid,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,npn,invalid,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,region,municipality,admin_reg,station,region_name,ekatte,place,address,municipality_name,eligible_voters
010200009,33.0,494.0,1.0,2.0,3.0,1.0,0.0,7.0,7.0,17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01,02,00,009,01. БЛАГОЕВГРАД,77596,с.Горно Краище,с. ГОРНО КРАИЩЕ УЧИЛИЩЕ,Белица,945
010200012,2.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,012,01. БЛАГОЕВГРАД,15638,с.Гълъбово,с. ГЪЛЪБОВО УЧИЛИЩЕ,Белица,31
010200005,27.0,335.0,4.0,1.0,3.0,3.0,0.0,0.0,11.0,20,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,01,02,00,005,01. БЛАГОЕВГРАД,20064,с.Дагоново,с. ДАГОНОВО УЧИЛИЩЕ,Белица,626
010200017,6.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,017,01. БЛАГОЕВГРАД,14521,с.Златарица,с. ЗЛАТАРИЦА КМЕТСТВО,Белица,66
010200006,10.0,428.0,0.0,2.0,1.0,2.0,0.0,4.0,6.0,2,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,006,01. БЛАГОЕВГРАД,39270,с.Краище,"с. КРАИЩЕ ДЕТСКА ГРАДИНА, УЛ.  ЕДИНАДЕСЕТА  №18",Белица,722
010200008,10.0,267.0,0.0,2.0,1.0,2.0,0.0,1.0,7.0,8,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,008,01. БЛАГОЕВГРАД,39270,с.Краище,"с. КРАИЩЕ ДЕТСКА ГРАДИНА, УЛ.  ЕДИНАДЕСЕТА  №18",Белица,627
010200007,14.0,327.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0,8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,007,01. БЛАГОЕВГРАД,39270,с.Краище,"с. КРАИЩЕ МАГ. БИМБ. МАХАЛА-БАРАКИТЕ, УЛ.  ДВАДЕСЕТ И ПЪРВА  №4",Белица,703
010200013,4.0,142.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,013,01. БЛАГОЕВГРАД,40453,с.Кузьово,с. КУЗЬОВО КМЕТСТВО,Белица,188
010200010,2.0,138.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,010,01. БЛАГОЕВГРАД,44762,с.Лютово,с. ЛЮТОВО КМЕТСТВО,Белица,165
010200016,2.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,016,01. БЛАГОЕВГРАД,53998,с.Орцево,с. ОРЦЕВО КМЕТСТВО,Белица,121
010200014,9.0,119.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,014,01. БЛАГОЕВГРАД,59330,с.Палатик,с. ПАЛАТИК УЧИЛИЩЕ,Белица,170
