sid,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,npn,invalid,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010200009,30.0,498.0,0.0,2.0,4.0,1.0,0.0,8.0,18,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,02,00,009,Белица,01. БЛАГОЕВГРАД,77596,с.Горно Краище,с. ГОРНО КРАИЩЕ УЧИЛИЩЕ,945
010200010,2.0,139.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,010,Белица,01. БЛАГОЕВГРАД,44762,с.Лютово,с. ЛЮТОВО КМЕТСТВО,162
010200011,2.0,494.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,011,Белица,01. БЛАГОЕВГРАД,2107,с.Бабяк,с. БАБЯК УЧИЛИЩЕ,564
010200012,2.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,012,Белица,01. БЛАГОЕВГРАД,15638,с.Гълъбово,с. ГЪЛЪБОВО УЧИЛИЩЕ,31
010200013,3.0,140.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,013,Белица,01. БЛАГОЕВГРАД,40453,с.Кузьово,с. КУЗЬОВО КМЕТСТВО,185
010200014,8.0,120.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,014,Белица,01. БЛАГОЕВГРАД,59330,с.Палатик,с. ПАЛАТИК УЧИЛИЩЕ,169
010200015,3.0,191.0,0.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,015,Белица,01. БЛАГОЕВГРАД,80649,с.Черешово,с. ЧЕРЕШОВО УЧИЛИЩЕ,200
010200016,2.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,016,Белица,01. БЛАГОЕВГРАД,53998,с.Орцево,с. ОРЦЕВО КМЕТСТВО,121
010200017,6.0,21.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,017,Белица,01. БЛАГОЕВГРАД,14521,с.Златарица,с. ЗЛАТАРИЦА КМЕТСТВО,66
010200018,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,018,Белица,01. БЛАГОЕВГРАД,3504,гр.Белица,с. Горно Краище,75
