sid,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ДПС-Доган,ИТН,МЕЧ,ВЕЛИЧИЕ,npn,invalid,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,ДОСТ,БНС-НД,КОЙ,Чавдар Попов (нез.),Булгари,БСДД,СПБП,БТР,БРИГАДА,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010200014,7.0,0.0,1.0,138.0,1.0,6.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,014,Белица,01. БЛАГОЕВГРАД,59330,с.Палатик,"С.ПАЛАТИК, УЧИЛИЩЕ",174
010200015,3.0,1.0,1.0,190.0,1.0,1.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,015,Белица,01. БЛАГОЕВГРАД,80649,с.Черешово,"С.ЧЕРЕШОВО, УЧИЛИЩЕ",199
010300011,64.0,25.0,32.0,30.0,16.0,1.0,13.0,7.0,5.0,14.0,4,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,011,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",595
010300012,68.0,37.0,20.0,22.0,18.0,0.0,16.0,19.0,9.0,11.0,2,5.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,03,00,012,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",585
010300013,69.0,31.0,27.0,21.0,15.0,0.0,13.0,9.0,8.0,7.0,1,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,013,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",562
010300014,73.0,51.0,25.0,11.0,18.0,3.0,14.0,8.0,14.0,5.0,3,3.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,03,00,014,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",547
010300015,64.0,32.0,20.0,17.0,27.0,2.0,16.0,2.0,6.0,4.0,4,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,015,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",475
010300019,45.0,21.0,12.0,14.0,21.0,0.0,10.0,3.0,4.0,5.0,3,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,019,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",525
010300020,65.0,43.0,21.0,18.0,21.0,1.0,21.0,7.0,9.0,3.0,5,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,020,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",540
010300101,74.0,36.0,19.0,24.0,23.0,2.0,4.0,7.0,8.0,10.0,1,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,03,00,101,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",521
010300102,63.0,37.0,20.0,16.0,9.0,2.0,11.0,7.0,9.0,5.0,1,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,102,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",541
010300103,24.0,19.0,12.0,10.0,6.0,1.0,5.0,5.0,2.0,5.0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,103,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",352
010300062,28.0,14.0,20.0,34.0,16.0,0.0,19.0,10.0,3.0,0.0,2,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,062,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, VI-то СУ ИВАН ВАЗОВ ,УЛ. ЯНЕ САНДАНСКИ  №001",440
010300063,50.0,6.0,17.0,14.0,18.0,1.0,10.0,5.0,8.0,6.0,1,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,03,00,063,Благоевград,01. БЛАГОЕВГРАД,4279,гр.Благоевград,"ГР.БЛАГОЕВГРАД, VI-то СУ ИВАН ВАЗОВ ,УЛ. ЯНЕ САНДАНСКИ  №001",468
