sid,eligible_voters,added_voters,signatures,paper_ballots,invalid,npn_p,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_p,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_p,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_p,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_p,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_p,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_p,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_p,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_p,machine_ballots,npn_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_m,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_m,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_m,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_m,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_m,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_m,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_m,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_m,total_parties_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_tot,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_tot,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_tot,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_tot,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_tot,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,address
224614010,735,1,87,33,1,0,0,2,9,1,1,0,8,11,54,2,0,3,32,9,0,0,4,4,52,0,5,41,10,1,0,12,15,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614033,633,2,80,24,1,0,0,0,3,2,0,1,3,14,56,0,0,1,29,3,0,0,9,14,56,0,1,32,5,0,1,12,28,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614015,777,1,138,64,4,0,0,0,10,5,1,0,29,15,74,2,1,3,27,9,2,0,25,5,72,1,3,37,14,3,0,54,20,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4"
224614067,606,3,71,22,0,0,0,2,3,4,0,0,2,11,49,1,2,7,26,3,1,0,2,7,48,2,9,29,7,1,0,4,18,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614064,741,7,89,24,0,0,0,3,2,4,0,0,4,11,65,1,0,1,26,13,0,0,9,15,64,0,4,28,17,0,0,13,26,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614061,851,0,91,26,0,0,0,0,6,5,0,0,0,15,65,1,0,1,44,7,0,0,3,9,64,0,1,50,12,0,0,3,24,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614057,952,0,109,36,0,0,0,1,5,4,0,2,4,20,73,0,0,4,40,4,0,1,10,14,73,0,5,45,8,0,3,14,34,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614071,648,0,50,18,0,1,0,0,3,2,0,1,2,9,32,0,0,2,14,6,0,1,5,4,32,0,2,17,8,0,2,7,13,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614074,605,0,52,19,3,0,0,1,3,6,0,0,2,4,33,1,1,2,23,2,0,0,3,1,32,1,3,26,8,0,0,5,5,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614077,662,4,86,40,2,0,0,0,13,8,0,0,7,10,46,1,0,1,23,6,0,1,5,9,45,0,1,36,14,0,1,12,19,"С. БУСМАНЦИ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16"
